key,param,value,ran
oaat0175,bsw_sf,1.1,1
oaat0176,bsw_sf,1.3,0
oaat0177,bsw_sf,1.5,0
oaat0178,bsw_sf,1.7,0
oaat0179,bsw_sf,1.9,0
oaat0180,hksat_sf,6.5,0
oaat0181,hksat_sf,7,0
oaat0182,hksat_sf,7.5,0
oaat0183,hksat_sf,8,0
oaat0184,hksat_sf,8.5,0
oaat0185,vcmaxse_sf,1.2,1
oaat0186,jmaxse_sf,1.2,1
oaat0187,tpu25ratio,0.334,1
oaat0188,tpu25ratio,0.667,1
oaat0189,r_mort,0.016,1
oaat0190,r_mort,0.024,1
oaat0191,medlynintercept,6250.0,1
oaat0192,medlynintercept,9375.0,1
oaat0193,hksat_sf,2,1
oaat0194,hksat_sf,3,1
oaat0195,hksat_sf,4,1
oaat0196,hksat_sf,5,0
oaat0197,bsw_sf,1.15,1


